epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,86.2434,1.20219,0.96425,0.83295,0.88924,0.87606,0.94456,0.62456,1.13625,0.70789,0.82067,0.000349331,0.000349331,0.000349331
43,88.2368,1.27602,1.02556,0.83401,0.86979,0.88521,0.93935,0.62992,1.13544,0.72757,0.82034,0.00034351,0.00034351,0.00034351
44,90.2834,1.23857,0.98367,0.8321,0.89975,0.85928,0.94558,0.63107,1.11458,0.7228,0.81825,0.000337688,0.000337688,0.000337688
45,92.2937,1.1752,0.93308,0.83011,0.9081,0.89688,0.9532,0.62843,1.16713,0.70243,0.82156,0.000331867,0.000331867,0.000331867
46,94.3271,1.23815,0.98088,0.83099,0.93577,0.83542,0.95218,0.62896,1.15962,0.70604,0.82345,0.000326046,0.000326046,0.000326046
47,96.358,1.2491,0.96813,0.833,0.92973,0.86981,0.95738,0.63619,1.14966,0.70324,0.82136,0.000320225,0.000320225,0.000320225
48,98.3941,1.22823,0.94981,0.83455,0.90015,0.90997,0.96728,0.64561,1.14134,0.67534,0.81901,0.000314404,0.000314404,0.000314404
49,100.417,1.19137,0.92303,0.82407,0.94534,0.86689,0.96016,0.65106,1.13658,0.67137,0.81961,0.000308582,0.000308582,0.000308582
50,102.448,1.22122,0.92825,0.82799,0.94843,0.82061,0.95232,0.64261,1.1396,0.68441,0.82134,0.000302761,0.000302761,0.000302761
51,104.448,1.19116,0.89426,0.83131,0.91861,0.92867,0.97087,0.64278,1.154,0.6345,0.82069,0.00029694,0.00029694,0.00029694
52,106.458,1.19867,0.91079,0.8263,0.95459,0.85342,0.96135,0.63567,1.16091,0.64893,0.82157,0.000291119,0.000291119,0.000291119
53,108.442,1.22373,0.88873,0.83401,0.92912,0.88131,0.96362,0.63711,1.14385,0.65172,0.82079,0.000285298,0.000285298,0.000285298
54,110.465,1.20546,0.89642,0.8292,0.92296,0.91762,0.97316,0.65285,1.14895,0.63572,0.81956,0.000279476,0.000279476,0.000279476
55,112.477,1.18502,0.84459,0.82665,0.95509,0.89617,0.97218,0.6536,1.13777,0.6333,0.82234,0.000273655,0.000273655,0.000273655
56,114.48,1.1844,0.84888,0.83043,0.937,0.89027,0.97121,0.64977,1.16068,0.64164,0.81999,0.000267834,0.000267834,0.000267834
57,116.462,1.15757,0.83747,0.827,0.94707,0.8779,0.96599,0.63746,1.1827,0.65101,0.82246,0.000262013,0.000262013,0.000262013
58,118.483,1.12921,0.81082,0.82388,0.92982,0.91398,0.96608,0.65151,1.13297,0.65332,0.81662,0.000256192,0.000256192,0.000256192
59,120.514,1.17795,0.86168,0.83088,0.90514,0.90618,0.95262,0.64378,1.12906,0.66614,0.81868,0.00025037,0.00025037,0.00025037
60,122.541,1.14695,0.82355,0.82504,0.93145,0.87474,0.96472,0.65373,1.11718,0.63353,0.81746,0.000244549,0.000244549,0.000244549
61,124.532,1.16866,0.83465,0.82442,0.90831,0.93725,0.96964,0.64077,1.15352,0.62245,0.82556,0.000238728,0.000238728,0.000238728
62,126.547,1.19132,0.82558,0.826,0.91361,0.92215,0.97194,0.65839,1.11215,0.60976,0.81783,0.000232907,0.000232907,0.000232907
63,128.566,1.16328,0.81879,0.83246,0.93567,0.91115,0.97177,0.64612,1.1236,0.61889,0.81817,0.000227086,0.000227086,0.000227086
64,130.597,1.14485,0.8035,0.82733,0.93525,0.91832,0.96907,0.65157,1.12526,0.62271,0.81865,0.000221264,0.000221264,0.000221264
65,132.609,1.16077,0.81651,0.81887,0.93338,0.92495,0.97192,0.65812,1.12398,0.61531,0.81848,0.000215443,0.000215443,0.000215443
66,134.648,1.14679,0.805,0.82773,0.92704,0.92241,0.97196,0.65354,1.11775,0.61602,0.81849,0.000209622,0.000209622,0.000209622
67,136.64,1.1456,0.81695,0.82677,0.92151,0.90996,0.97529,0.6482,1.16562,0.60855,0.82189,0.000203801,0.000203801,0.000203801
68,138.656,1.13462,0.79132,0.82225,0.91576,0.93775,0.97092,0.65918,1.11328,0.61253,0.81606,0.00019798,0.00019798,0.00019798
69,140.697,1.12785,0.78849,0.82552,0.94592,0.91723,0.97304,0.65901,1.11993,0.61259,0.81717,0.000192158,0.000192158,0.000192158
70,142.723,1.11456,0.77548,0.82839,0.94748,0.89942,0.96882,0.65015,1.12703,0.62396,0.81816,0.000186337,0.000186337,0.000186337
71,144.717,1.10105,0.76693,0.82489,0.93958,0.92841,0.97255,0.64988,1.10666,0.60647,0.81571,0.000180516,0.000180516,0.000180516
72,146.73,1.14816,0.77297,0.82509,0.9379,0.92352,0.97393,0.64365,1.16544,0.62506,0.821,0.000174695,0.000174695,0.000174695
73,148.732,1.13432,0.76413,0.82216,0.94534,0.90926,0.97101,0.65881,1.11175,0.62076,0.81831,0.000168874,0.000168874,0.000168874
74,150.794,1.11378,0.77172,0.8216,0.95163,0.91347,0.97545,0.65695,1.11486,0.59804,0.81818,0.000163052,0.000163052,0.000163052
75,152.804,1.10667,0.73974,0.82191,0.90834,0.93782,0.97304,0.66566,1.11306,0.59799,0.8165,0.000157231,0.000157231,0.000157231
76,154.841,1.12051,0.76397,0.81994,0.92247,0.92932,0.97357,0.66458,1.09418,0.59733,0.81599,0.00015141,0.00015141,0.00015141
77,156.899,1.11877,0.77763,0.82497,0.93996,0.89449,0.95853,0.64541,1.1111,0.63688,0.81751,0.000145589,0.000145589,0.000145589
78,158.934,1.11759,0.75429,0.8214,0.93924,0.91213,0.96542,0.65115,1.09847,0.62886,0.81555,0.000139768,0.000139768,0.000139768
79,160.939,1.08046,0.74406,0.82494,0.9322,0.93631,0.97386,0.66297,1.09693,0.59821,0.81484,0.000133946,0.000133946,0.000133946
80,162.96,1.1343,0.76166,0.82082,0.95261,0.9181,0.97006,0.66459,1.09837,0.60485,0.81741,0.000128125,0.000128125,0.000128125
81,164.981,1.07992,0.73939,0.82109,0.96459,0.91873,0.97506,0.66775,1.09859,0.59386,0.81545,0.000122304,0.000122304,0.000122304
82,167.029,1.09587,0.73288,0.8198,0.96204,0.91386,0.97419,0.66131,1.11084,0.59195,0.81455,0.000116483,0.000116483,0.000116483
83,169.053,1.09167,0.72236,0.81892,0.95894,0.91737,0.97708,0.65656,1.13186,0.57779,0.81875,0.000110662,0.000110662,0.000110662
84,171.101,1.06474,0.71386,0.82516,0.96267,0.92621,0.97623,0.66647,1.09682,0.57816,0.81657,0.00010484,0.00010484,0.00010484
85,173.158,1.08645,0.7464,0.81808,0.96021,0.91761,0.97703,0.67425,1.09905,0.57766,0.81641,9.90192e-05,9.90192e-05,9.90192e-05
86,175.201,1.08577,0.73416,0.81742,0.97303,0.92088,0.97387,0.66832,1.09154,0.5809,0.81635,9.3198e-05,9.3198e-05,9.3198e-05
87,177.38,1.0771,0.71231,0.8159,0.94308,0.93256,0.97557,0.67025,1.08483,0.57535,0.81398,8.73768e-05,8.73768e-05,8.73768e-05
88,180.076,1.09593,0.71712,0.81989,0.92478,0.92707,0.97645,0.67392,1.07704,0.57997,0.81435,8.15556e-05,8.15556e-05,8.15556e-05
89,182.779,1.0774,0.69843,0.81922,0.96371,0.92373,0.97429,0.67273,1.08697,0.58168,0.81551,7.57344e-05,7.57344e-05,7.57344e-05
90,185.514,1.06587,0.68425,0.82385,0.94018,0.93046,0.97408,0.67039,1.09306,0.59472,0.81486,6.99132e-05,6.99132e-05,6.99132e-05
91,203.987,1.00714,0.65651,0.82768,0.93882,0.94365,0.97521,0.67164,1.09009,0.58272,0.81648,6.4092e-05,6.4092e-05,6.4092e-05
92,206.371,1.00192,0.63016,0.82142,0.97052,0.92323,0.9745,0.67701,1.06786,0.5776,0.81371,5.82708e-05,5.82708e-05,5.82708e-05
93,208.368,1.00341,0.64254,0.82465,0.97377,0.91416,0.97604,0.67407,1.07671,0.56706,0.81475,5.24496e-05,5.24496e-05,5.24496e-05
94,210.37,0.97896,0.61249,0.81792,0.96562,0.91865,0.97565,0.67295,1.08514,0.57204,0.81406,4.66284e-05,4.66284e-05,4.66284e-05
95,212.376,0.99279,0.6188,0.82044,0.9597,0.91939,0.9751,0.66574,1.09064,0.57974,0.81424,4.08072e-05,4.08072e-05,4.08072e-05
96,214.423,0.96243,0.6024,0.82057,0.94338,0.92232,0.97432,0.66894,1.08767,0.58131,0.81506,3.4986e-05,3.4986e-05,3.4986e-05
97,216.399,0.96764,0.6133,0.82123,0.95087,0.91834,0.97474,0.6733,1.08504,0.57661,0.81549,2.91648e-05,2.91648e-05,2.91648e-05
98,218.401,0.9687,0.60885,0.81141,0.94899,0.91734,0.97382,0.67278,1.07925,0.57874,0.81441,2.33436e-05,2.33436e-05,2.33436e-05
99,220.383,0.96797,0.61153,0.81923,0.96177,0.91024,0.97411,0.67057,1.07915,0.57489,0.81549,1.75224e-05,1.75224e-05,1.75224e-05
100,222.369,0.97601,0.59733,0.82189,0.95153,0.92093,0.97411,0.67185,1.08232,0.57583,0.81523,1.17012e-05,1.17012e-05,1.17012e-05
